CMDLINE python3 tmp/benchmark.py
MEM 511.398438 1523389476.3159
MEM 511.398438 1523389476.4164
MEM 511.398438 1523389476.5169
MEM 511.398438 1523389476.6173
MEM 570.175781 1523389476.7178
MEM 511.398438 1523389476.8182
MEM 528.667969 1523389476.9187
MEM 652.160156 1523389477.0191
MEM 528.898438 1523389477.1196
MEM 528.898438 1523389477.2200
MEM 528.898438 1523389477.3204
MEM 528.898438 1523389477.4208
MEM 528.898438 1523389477.5213
MEM 528.898438 1523389477.6217
MEM 528.898438 1523389477.7222
MEM 528.898438 1523389477.8226
MEM 528.898438 1523389477.9231
MEM 563.183594 1523389478.0235
MEM 528.898438 1523389478.1240
MEM 554.417969 1523389478.2248
MEM 659.605469 1523389478.3252
MEM 698.671875 1523389478.4256
MEM 554.546875 1523389478.5259
MEM 554.546875 1523389478.6263
MEM 554.546875 1523389478.7267
MEM 554.546875 1523389478.8293
MEM 554.546875 1523389478.9296
MEM 554.546875 1523389479.0300
MEM 554.546875 1523389479.1304
MEM 554.546875 1523389479.2307
MEM 554.546875 1523389479.3311
MEM 554.546875 1523389479.4315
MEM 560.730469 1523389479.5318
MEM 554.546875 1523389479.6332
MEM 554.546875 1523389479.7374
MEM 594.503906 1523389479.8407
MEM 699.175781 1523389479.9413
MEM 705.414062 1523389480.0416
MEM 648.941406 1523389480.1419
MEM 575.984375 1523389480.2503
MEM 575.984375 1523389480.3506
MEM 575.984375 1523389480.4510
MEM 575.984375 1523389480.5514
MEM 575.984375 1523389480.6517
MEM 575.984375 1523389480.7521
MEM 575.984375 1523389480.8526
MEM 575.984375 1523389480.9530
MEM 575.984375 1523389481.0534
MEM 575.984375 1523389481.1538
MEM 575.988281 1523389481.2543
MEM 575.988281 1523389481.3548
MEM 633.218750 1523389481.4553
MEM 660.265625 1523389481.5557
MEM 606.367188 1523389481.6560
MEM 585.230469 1523389481.7564
MEM 585.230469 1523389481.8568
MEM 585.230469 1523389481.9575
MEM 585.230469 1523389482.0579
MEM 585.230469 1523389482.1582
MEM 585.230469 1523389482.2586
MEM 585.230469 1523389482.3590
MEM 585.230469 1523389482.4593
MEM 585.230469 1523389482.5597
MEM 585.230469 1523389482.6600
MEM 585.230469 1523389482.7603
MEM 585.230469 1523389482.8609
MEM 585.230469 1523389482.9615
MEM 633.437500 1523389483.0620
MEM 660.265625 1523389483.1624
MEM 617.195312 1523389483.2627
MEM 585.230469 1523389483.3631
MEM 585.230469 1523389483.4635
MEM 585.230469 1523389483.5640
MEM 585.230469 1523389483.6644
MEM 585.230469 1523389483.7648
MEM 585.230469 1523389483.8652
MEM 585.230469 1523389483.9655
MEM 585.230469 1523389484.0658
MEM 585.230469 1523389484.1662
MEM 585.230469 1523389484.2666
MEM 585.230469 1523389484.3669
MEM 585.230469 1523389484.4674
MEM 689.183594 1523389484.5678
MEM 585.300781 1523389484.6685
MEM 597.414062 1523389484.7689
MEM 703.890625 1523389484.8692
MEM 733.371094 1523389484.9695
MEM 597.496094 1523389485.0698
MEM 597.496094 1523389485.1702
MEM 597.496094 1523389485.2705
MEM 597.496094 1523389485.3709
MEM 597.496094 1523389485.4713
MEM 572.132812 1523389485.5716
MEM 426.117188 1523389485.6749
MEM 426.117188 1523389485.7752
MEM 426.117188 1523389485.8756
MEM 426.117188 1523389485.9761
MEM 430.230469 1523389486.0765
MEM 430.230469 1523389486.1850
MEM 452.398438 1523389486.2853
MEM 535.414062 1523389486.3857
MEM 595.742188 1523389486.4860
MEM 610.437500 1523389486.5863
MEM 610.601562 1523389486.6866
MEM 610.601562 1523389486.7870
MEM 590.234375 1523389486.8873
MEM 622.718750 1523389486.9877
MEM 685.625000 1523389487.0880
MEM 673.261719 1523389487.1884
MEM 685.636719 1523389487.2888
MEM 642.617188 1523389487.3891
MEM 535.582031 1523389487.4894
MEM 535.582031 1523389487.5897
MEM 552.984375 1523389487.6901
MEM 574.664062 1523389487.7904
MEM 639.531250 1523389487.8907
MEM 754.714844 1523389487.9911
MEM 819.167969 1523389488.0914
MEM 819.167969 1523389488.1917
MEM 819.167969 1523389488.2921
MEM 819.167969 1523389488.3925
MEM 740.820312 1523389488.4928
MEM 782.011719 1523389488.5932
MEM 1013.132812 1523389488.6935
MEM 1186.902344 1523389488.7939
MEM 1420.222656 1523389488.8943
MEM 1086.164062 1523389488.9947
MEM 1268.437500 1523389489.0950
MEM 1529.410156 1523389489.1954
MEM 1771.582031 1523389489.2957
MEM 1891.832031 1523389489.3962
MEM 2130.753906 1523389489.4965
MEM 2416.410156 1523389489.5968
MEM 2504.324219 1523389489.6972
MEM 1309.968750 1523389489.7976
MEM 1365.140625 1523389489.8980
MEM 1421.601562 1523389489.9983
MEM 1477.546875 1523389490.0986
MEM 1531.429688 1523389490.1990
MEM 1586.601562 1523389490.2993
MEM 1638.937500 1523389490.4001
MEM 1688.695312 1523389490.5006
MEM 1735.101562 1523389490.6010
MEM 1786.148438 1523389490.7015
MEM 1842.351562 1523389490.8019
MEM 1899.328125 1523389490.9024
MEM 1484.250000 1523389491.0028
MEM 1431.113281 1523389491.1032
MEM 844.386719 1523389491.2036
MEM 819.292969 1523389491.3039
MEM 894.828125 1523389491.4043
MEM 970.109375 1523389491.5047
MEM 820.046875 1523389491.6051
MEM 895.066406 1523389491.7054
MEM 820.046875 1523389491.8057
MEM 833.191406 1523389491.9061
MEM 1045.046875 1523389492.0065
MEM 1241.929688 1523389492.1069
MEM 1416.230469 1523389492.2073
MEM 1357.871094 1523389492.3077
MEM 1289.953125 1523389492.4081
MEM 1503.382812 1523389492.5085
MEM 1762.832031 1523389492.6089
MEM 1995.386719 1523389492.7093
MEM 2091.941406 1523389492.8097
MEM 2396.933594 1523389492.9100
MEM 2646.753906 1523389493.0106
MEM 1807.039062 1523389493.1109
MEM 1480.242188 1523389493.2114
MEM 1533.867188 1523389493.3119
MEM 1589.296875 1523389493.4124
MEM 1645.242188 1523389493.5128
MEM 1697.578125 1523389493.6133
MEM 1754.296875 1523389493.7138
MEM 1810.500000 1523389493.8143
MEM 1867.476562 1523389493.9147
MEM 1923.937500 1523389494.0152
MEM 1974.984375 1523389494.1156
MEM 2030.414062 1523389494.2160
MEM 1567.640625 1523389494.3164
MEM 1829.835938 1523389494.4168
MEM 2044.851562 1523389494.5172
MEM 2044.851562 1523389494.6176
MEM 2044.851562 1523389494.7179
MEM 2044.851562 1523389494.8182
MEM 2044.851562 1523389494.9185
MEM 2044.851562 1523389495.0188
MEM 2044.851562 1523389495.1192
MEM 1501.640625 1523389495.2195
MEM 1733.929688 1523389495.3198
MEM 1995.351562 1523389495.4202
MEM 2045.109375 1523389495.5206
MEM 2045.109375 1523389495.6209
MEM 1547.015625 1523389495.7212
MEM 1797.351562 1523389495.8215
MEM 2045.109375 1523389495.9219
MEM 2045.109375 1523389496.0224
MEM 1481.531250 1523389496.1228
MEM 1697.320312 1523389496.2231
MEM 1955.648438 1523389496.3234
MEM 2045.109375 1523389496.4239
MEM 2045.109375 1523389496.5243
MEM 2045.109375 1523389496.6247
MEM 1893.781250 1523389496.7250
MEM 1432.808594 1523389496.8254
MEM 1588.265625 1523389496.9257
MEM 1842.726562 1523389497.0261
MEM 2045.109375 1523389497.1289
MEM 2045.109375 1523389497.2293
MEM 2045.109375 1523389497.3297
MEM 2045.109375 1523389497.4301
MEM 1560.164062 1523389497.5305
MEM 1795.031250 1523389497.6308
MEM 2045.109375 1523389497.7313
MEM 2045.109375 1523389497.8317
MEM 1432.808594 1523389497.9321
MEM 1604.765625 1523389498.0324
MEM 1865.414062 1523389498.1328
MEM 2045.109375 1523389498.2333
MEM 2045.109375 1523389498.3337
MEM 2045.109375 1523389498.4341
MEM 2045.109375 1523389498.5386
MEM 2045.109375 1523389498.6389
MEM 1489.781250 1523389498.7394
MEM 1674.117188 1523389498.8397
MEM 1892.226562 1523389498.9400
MEM 2045.109375 1523389499.0404
MEM 2045.109375 1523389499.1408
MEM 825.847656 1523389499.2411
MEM 1072.699219 1523389499.3415
MEM 1373.308594 1523389499.4418
MEM 1432.605469 1523389499.5422
MEM 1432.605469 1523389499.6426
MEM 1594.253906 1523389499.7429
MEM 1865.988281 1523389499.8433
MEM 1493.390625 1523389499.9436
MEM 1793.226562 1523389500.0439
MEM 2045.109375 1523389500.1447
MEM 2045.109375 1523389500.2453
MEM 2228.156250 1523389500.3456
MEM 2501.179688 1523389500.4459
MEM 2045.312500 1523389500.5463
MEM 2045.312500 1523389500.6466
MEM 2045.312500 1523389500.7470
MEM 1439.187500 1523389500.8473
MEM 1663.289062 1523389500.9476
MEM 1810.757812 1523389501.0480
MEM 2045.109375 1523389501.1485
MEM 2045.109375 1523389501.2490
MEM 2108.789062 1523389501.3494
MEM 2349.070312 1523389501.4498
MEM 2632.148438 1523389501.5501
MEM 2045.312500 1523389501.6505
MEM 2045.312500 1523389501.7509
MEM 2045.312500 1523389501.8513
MEM 2045.312500 1523389501.9517
MEM 2045.312500 1523389502.0520
MEM 1488.492188 1523389502.1524
MEM 1741.406250 1523389502.2527
MEM 2042.531250 1523389502.3530
MEM 2045.109375 1523389502.4534
MEM 2045.109375 1523389502.5538
MEM 2184.843750 1523389502.6541
MEM 2442.914062 1523389502.7545
MEM 2045.312500 1523389502.8548
MEM 2045.312500 1523389502.9552
MEM 2045.312500 1523389503.0555
MEM 2045.312500 1523389503.1559
MEM 2045.312500 1523389503.2562
MEM 1432.808594 1523389503.3566
MEM 1459.101562 1523389503.4570
MEM 1708.148438 1523389503.5573
MEM 2001.281250 1523389503.6577
MEM 2045.109375 1523389503.7580
MEM 2045.109375 1523389503.8584
MEM 2045.109375 1523389503.9588
MEM 1544.437500 1523389504.0592
MEM 1808.695312 1523389504.1595
MEM 2045.109375 1523389504.2603
MEM 2045.109375 1523389504.3608
