CMDLINE python3 tmp/benchmark.py
MEM 1.496094 1523395893.6899
MEM 21.582031 1523395893.7902
MEM 32.210938 1523395893.8905
MEM 41.375000 1523395893.9909
MEM 48.843750 1523395894.0912
MEM 49.671875 1523395894.1915
MEM 72.304688 1523395894.2918
MEM 94.699219 1523395894.3921
MEM 101.476562 1523395894.4924
MEM 104.089844 1523395894.5928
MEM 107.996094 1523395894.6931
MEM 108.289062 1523395894.7934
MEM 108.773438 1523395894.8936
MEM 114.960938 1523395894.9940
MEM 120.375000 1523395895.0943
MEM 122.703125 1523395895.1946
MEM 122.703125 1523395895.2949
MEM 122.703125 1523395895.3952
MEM 130.007812 1523395895.4955
MEM 130.007812 1523395895.5958
MEM 130.007812 1523395895.6961
MEM 130.007812 1523395895.7964
MEM 130.007812 1523395895.8968
MEM 130.007812 1523395895.9971
MEM 130.007812 1523395896.0974
MEM 130.007812 1523395896.1977
MEM 130.007812 1523395896.2980
MEM 130.007812 1523395896.3983
MEM 130.007812 1523395896.4986
MEM 134.308594 1523395896.5990
MEM 166.511719 1523395896.6993
MEM 194.832031 1523395896.7997
MEM 275.699219 1523395896.9000
MEM 367.804688 1523395897.0005
MEM 319.582031 1523395897.1010
MEM 321.320312 1523395897.2013
MEM 329.546875 1523395897.3016
MEM 329.546875 1523395897.4020
MEM 331.156250 1523395897.5025
MEM 348.679688 1523395897.6030
MEM 411.554688 1523395897.7034
MEM 515.453125 1523395897.8040
MEM 392.292969 1523395897.9045
MEM 392.292969 1523395898.0049
MEM 392.292969 1523395898.1052
MEM 392.292969 1523395898.2056
MEM 392.292969 1523395898.3060
MEM 392.292969 1523395898.4064
MEM 440.550781 1523395898.5069
MEM 473.828125 1523395898.6073
MEM 443.910156 1523395898.7076
MEM 392.351562 1523395898.8119
MEM 392.351562 1523395898.9123
MEM 392.351562 1523395899.0127
MEM 392.351562 1523395899.1131
MEM 404.722656 1523395899.2135
MEM 530.277344 1523395899.3141
MEM 417.734375 1523395899.4145
MEM 407.007812 1523395899.5149
MEM 407.007812 1523395899.6153
MEM 407.007812 1523395899.7157
MEM 407.007812 1523395899.8162
MEM 407.007812 1523395899.9167
MEM 411.160156 1523395900.0171
MEM 480.769531 1523395900.1176
MEM 521.667969 1523395900.2179
MEM 491.492188 1523395900.3183
MEM 432.714844 1523395900.4186
MEM 432.714844 1523395900.5190
MEM 432.714844 1523395900.6194
MEM 432.714844 1523395900.7198
MEM 432.714844 1523395900.8205
MEM 454.109375 1523395900.9214
MEM 577.343750 1523395901.0218
MEM 454.152344 1523395901.1222
MEM 454.152344 1523395901.2226
MEM 454.152344 1523395901.3230
MEM 454.152344 1523395901.4234
MEM 454.152344 1523395901.5238
MEM 454.152344 1523395901.6243
MEM 454.152344 1523395901.7248
MEM 475.542969 1523395901.8252
MEM 598.777344 1523395901.9256
MEM 475.593750 1523395902.0260
MEM 475.593750 1523395902.1264
MEM 475.593750 1523395902.2267
MEM 475.593750 1523395902.3271
MEM 475.593750 1523395902.4275
MEM 475.593750 1523395902.5280
MEM 475.593750 1523395902.6283
MEM 475.593750 1523395902.7287
MEM 563.500000 1523395902.8291
MEM 604.472656 1523395902.9295
MEM 481.230469 1523395903.0299
MEM 481.230469 1523395903.1303
MEM 481.230469 1523395903.2307
MEM 481.230469 1523395903.3310
MEM 481.230469 1523395903.4315
MEM 481.230469 1523395903.5319
MEM 481.234375 1523395903.6325
MEM 481.234375 1523395903.7332
MEM 577.652344 1523395903.8340
MEM 502.671875 1523395903.9363
MEM 502.671875 1523395904.0367
MEM 502.671875 1523395904.1372
MEM 502.671875 1523395904.2375
MEM 502.671875 1523395904.3380
MEM 502.671875 1523395904.4385
MEM 502.671875 1523395904.5390
MEM 502.675781 1523395904.6396
MEM 502.675781 1523395904.7401
MEM 538.632812 1523395904.8405
MEM 565.488281 1523395904.9410
MEM 528.347656 1523395905.0414
MEM 490.453125 1523395905.1418
MEM 490.453125 1523395905.2422
MEM 490.453125 1523395905.3425
MEM 490.453125 1523395905.4429
MEM 490.453125 1523395905.5434
MEM 490.453125 1523395905.6438
MEM 490.457031 1523395905.7441
MEM 490.457031 1523395905.8446
MEM 490.457031 1523395905.9450
MEM 556.453125 1523395906.0457
MEM 589.640625 1523395906.1461
MEM 561.011719 1523395906.2465
MEM 508.421875 1523395906.3468
MEM 508.421875 1523395906.4472
MEM 508.421875 1523395906.5476
MEM 508.421875 1523395906.6480
MEM 508.421875 1523395906.7485
MEM 508.421875 1523395906.8489
MEM 508.421875 1523395906.9493
MEM 508.421875 1523395907.0501
MEM 508.421875 1523395907.1507
MEM 625.207031 1523395907.2511
MEM 644.007812 1523395907.3515
MEM 511.210938 1523395907.4518
MEM 511.210938 1523395907.5522
MEM 511.210938 1523395907.6526
MEM 511.210938 1523395907.7530
MEM 511.210938 1523395907.8535
MEM 511.210938 1523395907.9540
