CMDLINE python3 tmp/benchmark.py
MEM 1.449219 1523517547.2226
MEM 21.480469 1523517547.3229
MEM 32.222656 1523517547.4232
MEM 41.812500 1523517547.5235
MEM 49.062500 1523517547.6238
MEM 50.070312 1523517547.7241
MEM 72.707031 1523517547.8244
MEM 94.761719 1523517547.9247
MEM 100.527344 1523517548.0250
MEM 104.578125 1523517548.1253
MEM 108.179688 1523517548.2256
MEM 108.210938 1523517548.3259
MEM 109.015625 1523517548.4263
MEM 114.460938 1523517548.5266
MEM 120.390625 1523517548.6269
MEM 122.847656 1523517548.7272
MEM 122.847656 1523517548.8276
MEM 122.847656 1523517548.9285
MEM 130.152344 1523517549.0288
MEM 130.152344 1523517549.1291
MEM 130.152344 1523517549.2294
MEM 130.152344 1523517549.3341
MEM 130.152344 1523517549.4344
MEM 130.152344 1523517549.5347
MEM 130.152344 1523517549.6350
MEM 130.152344 1523517549.7353
MEM 130.152344 1523517549.8356
MEM 130.152344 1523517549.9359
MEM 130.152344 1523517550.0362
MEM 130.152344 1523517550.1365
MEM 130.816406 1523517550.2369
MEM 160.304688 1523517550.3373
MEM 195.039062 1523517550.4378
MEM 275.648438 1523517550.5383
MEM 368.011719 1523517550.6390
MEM 390.167969 1523517550.7394
MEM 321.359375 1523517550.8398
MEM 329.011719 1523517550.9401
MEM 329.691406 1523517551.0405
MEM 331.273438 1523517551.1410
MEM 331.273438 1523517551.2415
MEM 361.167969 1523517551.3420
MEM 440.531250 1523517551.4425
MEM 467.429688 1523517551.5430
MEM 400.437500 1523517551.6433
MEM 392.453125 1523517551.7438
MEM 392.453125 1523517551.8441
MEM 392.453125 1523517551.9445
MEM 392.453125 1523517552.0449
MEM 392.453125 1523517552.1454
MEM 392.453125 1523517552.2458
MEM 515.683594 1523517552.3464
MEM 429.609375 1523517552.4468
MEM 392.457031 1523517552.5472
MEM 392.457031 1523517552.6475
MEM 392.457031 1523517552.7479
MEM 392.457031 1523517552.8483
MEM 392.457031 1523517552.9491
MEM 398.640625 1523517553.0496
MEM 467.992188 1523517553.1499
MEM 501.996094 1523517553.2502
MEM 458.156250 1523517553.3506
MEM 407.113281 1523517553.4510
MEM 407.113281 1523517553.5514
MEM 407.113281 1523517553.6518
MEM 407.113281 1523517553.7521
MEM 407.113281 1523517553.8527
MEM 432.203125 1523517553.9531
MEM 503.101562 1523517554.0534
MEM 533.695312 1523517554.1538
MEM 488.566406 1523517554.2541
MEM 432.882812 1523517554.3544
MEM 432.882812 1523517554.4549
MEM 432.882812 1523517554.5554
MEM 432.882812 1523517554.6563
MEM 432.882812 1523517554.7570
MEM 432.882812 1523517554.8575
MEM 502.488281 1523517554.9580
MEM 577.511719 1523517555.0585
MEM 454.320312 1523517555.1590
MEM 454.320312 1523517555.2594
MEM 454.320312 1523517555.3598
MEM 454.320312 1523517555.4602
MEM 454.320312 1523517555.5606
MEM 454.320312 1523517555.6610
MEM 454.320312 1523517555.7617
MEM 475.710938 1523517555.8621
MEM 553.828125 1523517555.9624
MEM 582.761719 1523517556.0627
MEM 535.312500 1523517556.1631
MEM 475.761719 1523517556.2635
MEM 475.761719 1523517556.3639
MEM 475.761719 1523517556.4643
MEM 475.761719 1523517556.5650
MEM 475.761719 1523517556.6654
MEM 475.761719 1523517556.7660
MEM 475.761719 1523517556.8666
MEM 573.980469 1523517556.9670
MEM 600.773438 1523517557.0673
MEM 556.417969 1523517557.1678
MEM 481.398438 1523517557.2683
MEM 481.398438 1523517557.3687
MEM 481.398438 1523517557.4710
MEM 481.398438 1523517557.5714
MEM 481.398438 1523517557.6717
MEM 481.402344 1523517557.7724
MEM 481.402344 1523517557.8731
MEM 502.796875 1523517557.9736
MEM 577.820312 1523517558.0740
MEM 508.507812 1523517558.1744
MEM 502.839844 1523517558.2748
MEM 502.839844 1523517558.3752
MEM 502.839844 1523517558.4756
MEM 502.839844 1523517558.5760
MEM 502.839844 1523517558.6764
MEM 502.839844 1523517558.7769
MEM 502.843750 1523517558.8773
MEM 502.843750 1523517558.9781
MEM 524.363281 1523517559.0784
MEM 613.824219 1523517559.1789
MEM 490.621094 1523517559.2792
MEM 490.621094 1523517559.3796
MEM 490.621094 1523517559.4800
MEM 490.621094 1523517559.5804
MEM 490.621094 1523517559.6808
MEM 490.621094 1523517559.7812
MEM 490.621094 1523517559.8816
MEM 490.621094 1523517559.9820
MEM 490.625000 1523517560.0824
MEM 490.625000 1523517560.1828
MEM 563.324219 1523517560.2831
MEM 600.121094 1523517560.3834
MEM 554.476562 1523517560.4837
MEM 508.589844 1523517560.5841
MEM 508.589844 1523517560.6845
MEM 508.589844 1523517560.7849
MEM 508.589844 1523517560.8851
MEM 508.589844 1523517560.9855
MEM 508.589844 1523517561.0859
MEM 508.589844 1523517561.1862
MEM 508.589844 1523517561.2869
MEM 508.589844 1523517561.3876
MEM 559.375000 1523517561.4881
MEM 593.371094 1523517561.5885
MEM 548.242188 1523517561.6888
MEM 511.378906 1523517561.7892
MEM 511.378906 1523517561.8896
MEM 511.378906 1523517561.9899
MEM 511.378906 1523517562.0903
MEM 511.378906 1523517562.1907
MEM 511.378906 1523517562.2911
MEM 511.378906 1523517562.3915
MEM 532.000000 1523517562.4919
MEM 511.378906 1523517562.5943
MEM 520.398438 1523517562.6948
MEM 635.898438 1523517562.7953
MEM 656.246094 1523517562.8957
MEM 574.878906 1523517562.9960
MEM 528.878906 1523517563.0964
MEM 528.878906 1523517563.1969
MEM 528.878906 1523517563.2972
MEM 528.878906 1523517563.3977
MEM 528.878906 1523517563.4981
MEM 528.878906 1523517563.5985
MEM 528.878906 1523517563.6989
MEM 528.878906 1523517563.7993
MEM 560.843750 1523517563.8997
MEM 528.878906 1523517564.0003
MEM 554.398438 1523517564.1010
MEM 648.500000 1523517564.2014
MEM 677.769531 1523517564.3018
MEM 629.546875 1523517564.4023
MEM 554.527344 1523517564.5027
MEM 554.527344 1523517564.6031
MEM 554.527344 1523517564.7034
MEM 554.527344 1523517564.8038
MEM 554.527344 1523517564.9041
MEM 554.527344 1523517565.0045
MEM 554.527344 1523517565.1048
MEM 554.527344 1523517565.2052
MEM 554.527344 1523517565.3055
MEM 554.527344 1523517565.4059
MEM 558.132812 1523517565.5062
MEM 641.148438 1523517565.6065
MEM 679.097656 1523517565.7069
MEM 634.742188 1523517565.8073
MEM 575.964844 1523517565.9077
MEM 575.964844 1523517566.0082
MEM 575.964844 1523517566.1086
MEM 575.964844 1523517566.2093
MEM 575.964844 1523517566.3096
MEM 575.964844 1523517566.4100
MEM 575.964844 1523517566.5105
MEM 575.964844 1523517566.6109
MEM 575.964844 1523517566.7113
MEM 575.964844 1523517566.8117
MEM 575.968750 1523517566.9123
MEM 575.968750 1523517567.0130
MEM 633.199219 1523517567.1135
MEM 660.757812 1523517567.2139
MEM 624.136719 1523517567.3142
MEM 585.210938 1523517567.4146
MEM 585.210938 1523517567.5151
MEM 585.210938 1523517567.6155
MEM 585.210938 1523517567.7178
MEM 585.210938 1523517567.8181
MEM 585.210938 1523517567.9185
MEM 585.210938 1523517568.0188
MEM 585.210938 1523517568.1192
MEM 585.210938 1523517568.2195
MEM 585.210938 1523517568.3199
MEM 617.175781 1523517568.4203
MEM 585.210938 1523517568.5209
MEM 585.210938 1523517568.6213
MEM 688.332031 1523517568.7217
MEM 715.414062 1523517568.8221
MEM 585.210938 1523517568.9224
MEM 585.210938 1523517569.0228
MEM 585.210938 1523517569.1233
MEM 585.210938 1523517569.2237
MEM 585.210938 1523517569.3241
MEM 585.210938 1523517569.4245
MEM 585.210938 1523517569.5249
MEM 585.210938 1523517569.6252
MEM 585.210938 1523517569.7256
MEM 585.210938 1523517569.8260
MEM 585.210938 1523517569.9265
MEM 585.210938 1523517570.0269
MEM 585.320312 1523517570.1275
MEM 585.320312 1523517570.2281
MEM 645.644531 1523517570.3287
MEM 720.667969 1523517570.4293
MEM 600.863281 1523517570.5296
MEM 597.515625 1523517570.6300
MEM 597.515625 1523517570.7304
MEM 597.515625 1523517570.8308
MEM 604.730469 1523517570.9312
MEM 597.515625 1523517571.0317
MEM 597.515625 1523517571.1321
MEM 426.136719 1523517571.2327
MEM 426.136719 1523517571.3332
MEM 426.136719 1523517571.4336
MEM 426.609375 1523517571.5339
MEM 426.609375 1523517571.6343
MEM 430.644531 1523517571.7347
MEM 432.960938 1523517571.8351
MEM 589.710938 1523517571.9357
MEM 589.781250 1523517572.0362
MEM 589.781250 1523517572.1367
MEM 589.781250 1523517572.2373
MEM 584.882812 1523517572.3376
MEM 664.804688 1523517572.4382
MEM 664.816406 1523517572.5388
MEM 664.816406 1523517572.6393
MEM 514.761719 1523517572.7397
MEM 439.726562 1523517572.8401
MEM 514.738281 1523517572.9405
MEM 439.726562 1523517573.0409
MEM 439.726562 1523517573.1412
MEM 439.726562 1523517573.2415
MEM 470.554688 1523517573.3419
MEM 470.554688 1523517573.4423
MEM 470.554688 1523517573.5427
MEM 616.992188 1523517573.6430
MEM 767.554688 1523517573.7434
MEM 502.023438 1523517573.8437
MEM 470.597656 1523517573.9442
MEM 470.597656 1523517574.0445
MEM 470.597656 1523517574.1449
MEM 470.597656 1523517574.2452
MEM 470.597656 1523517574.3456
MEM 470.597656 1523517574.4459
MEM 470.597656 1523517574.5462
MEM 470.597656 1523517574.6466
MEM 470.597656 1523517574.7470
MEM 470.597656 1523517574.8475
MEM 470.597656 1523517574.9481
MEM 470.597656 1523517575.0485
MEM 470.597656 1523517575.1488
MEM 470.597656 1523517575.2492
MEM 545.617188 1523517575.3495
MEM 545.617188 1523517575.4499
MEM 545.617188 1523517575.5503
MEM 545.617188 1523517575.6506
MEM 545.617188 1523517575.7511
MEM 471.371094 1523517575.8515
MEM 471.371094 1523517575.9519
MEM 471.371094 1523517576.0523
MEM 590.992188 1523517576.1526
MEM 471.496094 1523517576.2531
MEM 471.496094 1523517576.3535
MEM 471.496094 1523517576.4538
MEM 501.914062 1523517576.5544
MEM 684.187500 1523517576.6549
MEM 637.410156 1523517576.7552
MEM 716.300781 1523517576.8556
MEM 502.121094 1523517576.9560
MEM 502.121094 1523517577.0564
MEM 502.121094 1523517577.1568
MEM 502.121094 1523517577.2572
MEM 502.121094 1523517577.3575
MEM 502.121094 1523517577.4578
MEM 502.121094 1523517577.5582
MEM 502.121094 1523517577.6586
MEM 502.121094 1523517577.7590
MEM 502.121094 1523517577.8593
MEM 502.121094 1523517577.9622
MEM 502.121094 1523517578.0626
MEM 502.121094 1523517578.1630
MEM 502.121094 1523517578.2635
MEM 502.121094 1523517578.3639
MEM 582.039062 1523517578.4642
MEM 643.656250 1523517578.5646
MEM 502.121094 1523517578.6650
MEM 502.121094 1523517578.7654
MEM 502.121094 1523517578.8658
MEM 502.121094 1523517578.9662
MEM 502.121094 1523517579.0666
MEM 502.121094 1523517579.1670
MEM 502.121094 1523517579.2674
MEM 648.039062 1523517579.3677
MEM 796.023438 1523517579.4684
MEM 866.406250 1523517579.5687
MEM 502.121094 1523517579.6691
MEM 502.121094 1523517579.7695
MEM 502.121094 1523517579.8698
MEM 502.121094 1523517579.9702
MEM 502.121094 1523517580.0706
MEM 502.121094 1523517580.1710
MEM 502.121094 1523517580.2713
MEM 502.121094 1523517580.3717
MEM 502.121094 1523517580.4721
MEM 502.121094 1523517580.5726
MEM 502.121094 1523517580.6729
MEM 502.121094 1523517580.7733
MEM 502.121094 1523517580.8738
MEM 502.121094 1523517580.9741
MEM 502.121094 1523517581.0745
MEM 577.140625 1523517581.1749
MEM 577.140625 1523517581.2752
MEM 577.140625 1523517581.3756
MEM 577.140625 1523517581.4760
MEM 577.140625 1523517581.5764
MEM 502.121094 1523517581.6767
MEM 502.121094 1523517581.7771
MEM 502.121094 1523517581.8775
MEM 643.140625 1523517581.9778
MEM 502.121094 1523517582.0782
MEM 502.121094 1523517582.1786
MEM 502.121094 1523517582.2790
MEM 536.406250 1523517582.3793
MEM 684.132812 1523517582.4797
MEM 662.417969 1523517582.5801
MEM 502.121094 1523517582.6805
MEM 502.121094 1523517582.7808
MEM 502.121094 1523517582.8812
MEM 502.121094 1523517582.9816
MEM 502.121094 1523517583.0841
MEM 502.121094 1523517583.1845
MEM 502.121094 1523517583.2848
MEM 502.121094 1523517583.3852
MEM 502.121094 1523517583.4855
MEM 502.121094 1523517583.5859
MEM 502.121094 1523517583.6863
MEM 502.121094 1523517583.7867
MEM 502.121094 1523517583.8875
MEM 502.121094 1523517583.9879
MEM 502.121094 1523517584.0883
MEM 502.121094 1523517584.1887
MEM 597.507812 1523517584.2891
MEM 652.164062 1523517584.3894
MEM 502.121094 1523517584.4898
MEM 502.121094 1523517584.5902
MEM 440.996094 1523517584.6906
MEM 502.093750 1523517584.7910
MEM 502.093750 1523517584.8913
MEM 502.093750 1523517584.9917
MEM 502.093750 1523517585.0922
MEM 585.109375 1523517585.1925
MEM 711.437500 1523517585.2928
MEM 866.125000 1523517585.3932
MEM 502.121094 1523517585.4936
MEM 502.121094 1523517585.5940
MEM 502.121094 1523517585.6944
MEM 502.121094 1523517585.7947
MEM 502.121094 1523517585.8951
MEM 502.121094 1523517585.9954
MEM 502.121094 1523517586.0961
MEM 502.121094 1523517586.1965
MEM 502.121094 1523517586.2968
MEM 502.121094 1523517586.3972
MEM 502.121094 1523517586.4975
MEM 502.121094 1523517586.5979
MEM 502.121094 1523517586.6983
MEM 502.121094 1523517586.7987
MEM 502.121094 1523517586.8992
MEM 577.140625 1523517586.9996
MEM 577.140625 1523517587.1000
MEM 577.140625 1523517587.2004
MEM 577.140625 1523517587.3008
MEM 577.140625 1523517587.4012
MEM 502.121094 1523517587.5016
MEM 502.121094 1523517587.6020
MEM 527.382812 1523517587.7023
MEM 614.308594 1523517587.8026
MEM 502.121094 1523517587.9030
MEM 502.121094 1523517588.0035
MEM 502.121094 1523517588.1039
MEM 591.062500 1523517588.2061
MEM 684.132812 1523517588.3065
MEM 685.105469 1523517588.4069
MEM 502.121094 1523517588.5073
MEM 502.121094 1523517588.6077
MEM 502.121094 1523517588.7080
MEM 502.121094 1523517588.8084
MEM 502.121094 1523517588.9088
MEM 502.121094 1523517589.0092
MEM 502.121094 1523517589.1095
MEM 502.121094 1523517589.2099
MEM 502.121094 1523517589.3103
MEM 502.121094 1523517589.4107
MEM 502.121094 1523517589.5111
MEM 502.121094 1523517589.6120
MEM 502.121094 1523517589.7124
MEM 502.121094 1523517589.8128
MEM 502.121094 1523517589.9132
MEM 507.273438 1523517590.0135
MEM 619.421875 1523517590.1139
MEM 502.121094 1523517590.2143
MEM 502.121094 1523517590.3147
MEM 502.121094 1523517590.4151
MEM 502.121094 1523517590.5156
MEM 502.121094 1523517590.6160
MEM 502.121094 1523517590.7164
MEM 502.121094 1523517590.8168
MEM 591.835938 1523517590.9171
MEM 716.875000 1523517591.0175
MEM 866.406250 1523517591.1178
MEM 502.121094 1523517591.2182
MEM 502.121094 1523517591.3186
MEM 502.121094 1523517591.4189
MEM 502.121094 1523517591.5194
MEM 502.121094 1523517591.6197
MEM 502.121094 1523517591.7201
MEM 502.121094 1523517591.8207
MEM 502.121094 1523517591.9211
MEM 502.121094 1523517592.0215
MEM 502.121094 1523517592.1218
MEM 502.121094 1523517592.2222
MEM 502.121094 1523517592.3225
MEM 502.121094 1523517592.4228
MEM 502.121094 1523517592.5232
MEM 502.121094 1523517592.6236
MEM 535.632812 1523517592.7240
MEM 577.140625 1523517592.8243
MEM 577.140625 1523517592.9247
MEM 577.140625 1523517593.0251
MEM 577.140625 1523517593.1254
MEM 502.121094 1523517593.2258
MEM 502.121094 1523517593.3281
MEM 502.121094 1523517593.4285
MEM 535.375000 1523517593.5289
MEM 577.156250 1523517593.6292
MEM 502.121094 1523517593.7296
MEM 502.121094 1523517593.8299
MEM 502.121094 1523517593.9305
MEM 594.414062 1523517594.0309
MEM 684.132812 1523517594.1313
MEM 684.074219 1523517594.2316
MEM 502.121094 1523517594.3321
MEM 502.121094 1523517594.4325
MEM 502.121094 1523517594.5333
MEM 502.121094 1523517594.6337
MEM 502.121094 1523517594.7341
MEM 502.121094 1523517594.8344
MEM 502.121094 1523517594.9348
MEM 502.121094 1523517595.0352
MEM 502.121094 1523517595.1362
MEM 502.121094 1523517595.2366
MEM 502.121094 1523517595.3370
MEM 502.121094 1523517595.4374
MEM 502.121094 1523517595.5378
MEM 502.121094 1523517595.6381
MEM 502.121094 1523517595.7385
MEM 502.121094 1523517595.8389
MEM 603.179688 1523517595.9393
MEM 635.156250 1523517596.0396
MEM 502.121094 1523517596.1399
MEM 502.121094 1523517596.2403
MEM 440.996094 1523517596.3407
MEM 502.093750 1523517596.4412
MEM 502.093750 1523517596.5415
MEM 502.093750 1523517596.6419
MEM 502.093750 1523517596.7424
MEM 538.960938 1523517596.8427
MEM 685.656250 1523517596.9431
MEM 831.578125 1523517597.0434
MEM 502.121094 1523517597.1438
MEM 502.121094 1523517597.2443
MEM 502.121094 1523517597.3447
MEM 502.121094 1523517597.4451
MEM 502.121094 1523517597.5455
MEM 502.121094 1523517597.6460
MEM 502.121094 1523517597.7465
MEM 502.121094 1523517597.8470
MEM 502.121094 1523517597.9474
MEM 502.121094 1523517598.0478
MEM 502.121094 1523517598.1482
MEM 502.121094 1523517598.2487
MEM 502.121094 1523517598.3491
MEM 502.121094 1523517598.4495
MEM 502.121094 1523517598.5498
MEM 577.140625 1523517598.6502
MEM 577.140625 1523517598.7505
MEM 577.140625 1523517598.8509
MEM 577.140625 1523517598.9513
MEM 577.140625 1523517599.0517
MEM 502.121094 1523517599.1521
MEM 502.121094 1523517599.2525
MEM 502.121094 1523517599.3529
MEM 600.085938 1523517599.4532
MEM 502.121094 1523517599.5536
MEM 502.121094 1523517599.6541
MEM 502.121094 1523517599.7545
MEM 502.121094 1523517599.8551
MEM 657.320312 1523517599.9555
MEM 611.113281 1523517600.0558
MEM 695.675781 1523517600.1562
MEM 502.121094 1523517600.2565
MEM 502.121094 1523517600.3569
MEM 502.121094 1523517600.4573
MEM 502.121094 1523517600.5578
MEM 502.121094 1523517600.6582
MEM 502.121094 1523517600.7586
MEM 502.121094 1523517600.8589
MEM 502.121094 1523517600.9593
MEM 502.121094 1523517601.0597
MEM 502.121094 1523517601.1601
MEM 502.121094 1523517601.2605
MEM 502.121094 1523517601.3609
MEM 502.121094 1523517601.4612
MEM 502.121094 1523517601.5615
MEM 502.121094 1523517601.6618
MEM 502.121094 1523517601.7621
MEM 502.121094 1523517601.8625
MEM 502.121094 1523517601.9628
MEM 581.523438 1523517602.0632
MEM 640.304688 1523517602.1636
MEM 502.121094 1523517602.2640
MEM 502.121094 1523517602.3643
MEM 502.121094 1523517602.4646
MEM 502.121094 1523517602.5650
MEM 502.121094 1523517602.6654
MEM 502.121094 1523517602.7658
MEM 502.121094 1523517602.8661
MEM 502.121094 1523517602.9665
MEM 502.121094 1523517603.0669
MEM 609.109375 1523517603.1676
MEM 738.273438 1523517603.2680
MEM 866.406250 1523517603.3683
MEM 502.121094 1523517603.4688
MEM 502.121094 1523517603.5693
MEM 502.121094 1523517603.6696
MEM 502.121094 1523517603.7700
MEM 502.121094 1523517603.8704
MEM 502.121094 1523517603.9708
MEM 502.121094 1523517604.0712
MEM 502.121094 1523517604.1715
MEM 502.121094 1523517604.2723
MEM 502.121094 1523517604.3728
MEM 502.121094 1523517604.4732
MEM 502.121094 1523517604.5741
MEM 502.121094 1523517604.6747
MEM 502.121094 1523517604.7751
MEM 502.121094 1523517604.8755
MEM 577.140625 1523517604.9759
MEM 577.140625 1523517605.0763
MEM 577.140625 1523517605.1767
MEM 577.140625 1523517605.2771
MEM 577.140625 1523517605.3775
MEM 502.121094 1523517605.4779
MEM 502.121094 1523517605.5783
MEM 502.121094 1523517605.6787
MEM 631.281250 1523517605.7791
MEM 502.121094 1523517605.8840
MEM 502.121094 1523517605.9844
MEM 502.121094 1523517606.0848
MEM 502.121094 1523517606.1854
MEM 660.156250 1523517606.2858
MEM 620.652344 1523517606.3861
MEM 708.566406 1523517606.4865
MEM 502.121094 1523517606.5870
MEM 502.121094 1523517606.6873
MEM 502.121094 1523517606.7877
MEM 502.121094 1523517606.8881
MEM 502.121094 1523517606.9885
MEM 502.121094 1523517607.0889
MEM 502.121094 1523517607.1893
MEM 502.121094 1523517607.2897
MEM 502.121094 1523517607.3901
MEM 502.121094 1523517607.4905
MEM 502.121094 1523517607.5909
MEM 502.121094 1523517607.6914
MEM 502.121094 1523517607.7919
MEM 502.121094 1523517607.8923
MEM 502.121094 1523517607.9926
MEM 502.121094 1523517608.0931
MEM 502.121094 1523517608.1935
MEM 587.195312 1523517608.2939
MEM 648.039062 1523517608.3942
MEM 502.121094 1523517608.4946
MEM 502.121094 1523517608.5950
MEM 532.539062 1523517608.6954
MEM 502.093750 1523517608.7958
MEM 502.093750 1523517608.8965
MEM 502.093750 1523517608.9970
MEM 502.093750 1523517609.0975
MEM 502.093750 1523517609.1979
MEM 609.085938 1523517609.2983
MEM 765.062500 1523517609.3987
MEM 866.382812 1523517609.4991
MEM 502.121094 1523517609.5995
MEM 502.121094 1523517609.6999
MEM 502.121094 1523517609.8002
MEM 502.121094 1523517609.9006
MEM 502.121094 1523517610.0010
MEM 502.121094 1523517610.1014
MEM 502.121094 1523517610.2018
MEM 502.121094 1523517610.3022
MEM 502.121094 1523517610.4026
MEM 502.121094 1523517610.5031
MEM 502.121094 1523517610.6035
MEM 502.121094 1523517610.7040
MEM 502.121094 1523517610.8044
MEM 502.121094 1523517610.9048
MEM 502.121094 1523517611.0053
MEM 577.140625 1523517611.1057
MEM 577.140625 1523517611.2061
MEM 577.140625 1523517611.3065
MEM 577.140625 1523517611.4069
MEM 577.140625 1523517611.5073
MEM 502.121094 1523517611.6078
MEM 502.121094 1523517611.7082
MEM 532.023438 1523517611.8086
MEM 614.308594 1523517611.9089
MEM 502.121094 1523517612.0093
MEM 502.121094 1523517612.1097
MEM 502.121094 1523517612.2101
MEM 502.121094 1523517612.3106
