CMDLINE python3 tmp/benchmark.py
MEM 952.101562 1523394284.9171
MEM 844.851562 1523394285.0174
MEM 970.921875 1523394285.1177
MEM 874.285156 1523394285.2181
MEM 1093.425781 1523394285.3185
MEM 660.730469 1523394285.4189
MEM 599.167969 1523394285.5193
MEM 722.558594 1523394285.6196
MEM 692.132812 1523394285.7199
MEM 683.789062 1523394285.8203
MEM 737.156250 1523394285.9207
MEM 540.660156 1523394286.0211
MEM 641.789062 1523394286.1214
MEM 874.878906 1523394286.2218
MEM 666.515625 1523394286.3222
MEM 719.367188 1523394286.4225
MEM 509.468750 1523394286.5228
MEM 509.468750 1523394286.6232
MEM 579.332031 1523394286.7236
MEM 509.468750 1523394286.8239
MEM 648.167969 1523394286.9243
MEM 509.468750 1523394287.0246
MEM 509.468750 1523394287.1250
MEM 602.355469 1523394287.2253
MEM 704.855469 1523394287.3257
MEM 874.878906 1523394287.4260
MEM 680.695312 1523394287.5264
MEM 733.031250 1523394287.6268
MEM 754.429688 1523394287.7290
MEM 711.117188 1523394287.8293
MEM 719.625000 1523394287.9297
MEM 720.398438 1523394288.0300
MEM 631.972656 1523394288.1303
MEM 675.539062 1523394288.2307
MEM 669.468750 1523394288.3310
MEM 754.429688 1523394288.4314
MEM 749.531250 1523394288.5317
MEM 642.281250 1523394288.6321
MEM 754.429688 1523394288.7325
MEM 631.925781 1523394288.8329
MEM 681.984375 1523394288.9332
MEM 853.171875 1523394289.0335
MEM 754.476562 1523394289.1339
MEM 776.859375 1523394289.2342
MEM 754.476562 1523394289.3346
MEM 743.859375 1523394289.4350
MEM 873.023438 1523394289.5353
MEM 754.476562 1523394289.6357
MEM 631.972656 1523394289.7361
MEM 754.429688 1523394289.8365
MEM 754.429688 1523394289.9374
MEM 754.429688 1523394290.0378
MEM 729.937500 1523394290.1381
MEM 852.140625 1523394290.2385
MEM 711.890625 1523394290.3388
MEM 839.097656 1523394290.4392
MEM 754.476562 1523394290.5395
MEM 867.093750 1523394290.6399
MEM 889.566406 1523394290.7403
MEM 999.394531 1523394290.8407
